Sep 9th,Holloway,Kim Fisher presents: ENJOY EVERY SANDWICH - an evening of talking and singing
Sep 9th,Brickmakers,The Black Dog Music Project
Sep 9th,Arts Centre,Round Midnight presents Yetii
Sep 9th,Waterfront,The Toasters
Sep 9th,Dead Wax,Deviated Instinct + BirdWitch + Dismara
Sep 10th,Space,The Space Comedy Night
Sep 10th,Holloway,PIGG + TROILUS + KEROZINE (Fundraiser for Lebanese youth facing Israeli violence)
Sep 10th,Epic,Screen Industry Mixer
Sep 10th,Brickmakers,Open Mic with Peter T
Sep 10th,Waterfront,The Bracknall
Sep 11th,Space,Narcolepsy + Support
Sep 11th,Gonzos,Sounds of DnB
Sep 11th,Holloway,Bruise Blood (Teeth Of The Sea) + Elenwen + Ziggy Waldron
Sep 11th,Brickmakers,Rawkas
Sep 11th,Arts Centre,James Lavelle (UNKLE) DJ
Sep 11th,Waterfront,Cam T
Sep 11th,Last Pub,Housekind
Sep 12th,Space,Togetherness
Sep 12th,Holloway,Ravenous Hounds + Tiger Night + Mo Ferrel
Sep 12th,Brickmakers,Re|Floyd – Live In Concert
Sep 12th,Arts Centre,The Ultimate Stone Roses
Sep 12th,Waterfront,Aladdinsane – The Sound & Vision Of Bowie Tribute
Sep 12th,Waterfront,Ally Venable
Sep 12th,Brickmakers,Re Floyd
Sep 12th,Hangar,Norwich: It’s a Garage Thing! Garage End of Summer Day Party - 12th Sept
Sep 12th,Last Pub,All Night Long with Cheers!
Sep 13th,Gonzos,Rooftop Sunday Session w Dunmore Brothers (Summer Closing)
Sep 13th,Holloway,The East Anglian Landscape Network presents: English Heretic
Sep 13th,Epic,"J-Pop, K-Pop & Anime Convention"
Sep 13th,Brickmakers,Southbound
Sep 13th,Waterfront,Sweet And Sour
Sep 13th,Waterfront,Dream State
Sep 13th,Voodoos,"Stereo Sanctity Returns to Norwich With Immersion, Pram and E.m.arson"
Sep 13th,Last Pub,The Listening Club - Prince
Sep 13th,The Reindeer,Sunday Soul with The Optics
Sep 14th,Epic,Caitlin Moran - How To Be Hopeful w/ Host Sara Pascoe
Sep 14th,Waterfront,Liana Flores
Sep 14th,Last Pub,Norwich Jazz Jam
Sep 15th,Holloway,Erode (USA) Sinister Feeling (USA) + Hour of Reprisal
Sep 16th,Space,Clothes Swap
Sep 16th,Holloway,Sam Grassie & Band + Supports!
Sep 16th,Epic,"Dom Joly - Trigger Happy TV, the 25th Anniversary Tour"
Sep 16th,Voodoos,FORM Presents: ROSA WALTON + Nadia Kadek
Sep 16th,Dead Wax,"Free Monthly Wax: Iceni Green, Alecs Delarge, Kasumu, Bertinho"
Sep 16th,Brickmakers,The Blue Lion Band Showcase
Sep 16th,The Halls,An Evening of Dickens - a free dramatic reading
Sep 17th,Holloway,Pozi + Prayer Tech + More!
Sep 17th,Arts Centre,Pigs Pigs Pigs Pigs Pigs Pigs Pigs
Sep 17th,Waterfront,The Urban Voodoo Machine
Sep 17th,Dead Wax,Dreamcast
